title,price,rating,reviews,availability
"iQOO Neo 7 Pro 5G (Dark Storm, 8GB RAM, 128GB Storage) | Snapdragon® 8+ Gen 1 | Independent Gaming Chip | Flagship 50MP OIS Camera | AG Glass Design","32,999.",4.3 out of 5 stars,"1,095 ratings",In stock
"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger","15,990.",4.0 out of 5 stars,"12,391 ratings",In stock
"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","8,499.",3.9 out of 5 stars,"14,699 ratings",In stock
"Xiaomi Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)","9,899.",4.1 out of 5 stars,"3,977 ratings",In stock
"realme narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","14,499.",4.1 out of 5 stars,"3,244 ratings",In stock
"realme narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","11,999.",3.9 out of 5 stars,"9,880 ratings",In stock
"realme narzo N55 (Prime Blue, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera","10,999.",4.0 out of 5 stars,"9,417 ratings",In stock
"Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)","5,299.",3.9 out of 5 stars,"5,314 ratings",In stock
"realme narzo 60X 5G（Nebula Purple 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","12,999.",4.1 out of 5 stars,"3,244 ratings",In stock
Redmi 12 5G Moonstone Silver 8GB RAM 256GB ROM,"14,999.",3.9 out of 5 stars,"6,395 ratings",In stock
"iQOO Neo 7 5G (Frost Blue, 8GB RAM, 128GB Storage) | Dimensity 8200, only 4nm Processor in The Segment | 50% Charge in 10 mins | Motion Control & 90 FPS Gaming","25,999.",4.2 out of 5 stars,"5,512 ratings",In stock
"Redmi 12C (Matte Black, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery","6,799.",4.0 out of 5 stars,"10,458 ratings",In stock
"realme narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera","10,999.",4.0 out of 5 stars,"9,417 ratings",In stock
"realme narzo 60X 5G（Stellar Green, 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","12,999.",4.1 out of 5 stars,"3,244 ratings",In stock
realme narzo 50i Prime (Mint Green 4GB RAM+64GB Storage) Octa-core Processor |5000 mAh Battery,"7,299.",4.0 out of 5 stars,"7,716 ratings",In stock
"IKALL K510 Smartphone (5"" Display, 2GB, 32GB, Dual Sim, 4G Volte) (Gold)","4,999.",Previous page,,In stock
"iQOO Z6 Lite 5G (Mystic Night, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box","12,999.",4.1 out of 5 stars,"18,175 ratings",In stock
"Motorola E13 (Aurora Green, 8GB RAM, 128GB Storage) | Upto 1TB MicroSD Expandable | 6.5 Inch IPS LCD Display with 60Hz Refresh Rate | UNISOC T606 Processor | Face Unlock | IP52 Water Repellent Design","8,990.",3.9 out of 5 stars,123 ratings,
Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Pink,"12,599.",3.7 out of 5 stars,489 ratings,In stock
"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box","12,999.",4.1 out of 5 stars,"18,175 ratings",In stock
"Redmi Note 12 (Sunrise Gold, 6GB RAM, 64GB Storage)","11,999.",3.9 out of 5 stars,312 ratings,In stock
"Oppo A79 5G (Glowing Green, 8GB RAM, 128GB Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger | 50MP AI Rear Camera | 6.72"" FHD+ 90Hz Display | with No Cost EMI/Additional Exchange Offers","19,999.",3.8 out of 5 stars,20 ratings,In stock
